Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,7-Feb-02,5-Feb-15
New Century Bank,Shelby Township,MI,34979,No Acquirer,28-Mar-02,18-Mar-05
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,30-Sep-02,11-Sep-06
Bank of Alamo,Alamo,TN,9961,No Acquirer,8-Nov-02,18-Mar-05
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,14-Feb-04,9-Apr-08
MagnetBank,Salt Lake City,UT,58001,No Acquirer,30-Jan-09,16-Aug-12
FirstCity Bank,Stockbridge,GA,18243,No Acquirer,20-Mar-09,17-Aug-12
Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,17-Aug-12
New Frontier Bank,Greeley,CO,34881,No Acquirer,10-Apr-09,4-Sep-12
First Bank of Beverly Hills,Calabasas,CA,32069,No Acquirer,24-Apr-09,4-Sep-12
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,1-May-09,17-Aug-12
Community Bank of West Georgia,Villa Rica,GA,57436,No Acquirer,26-Jun-09,17-Aug-12
Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,14-Aug-09,21-Aug-12
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,4-Sep-09,21-Aug-12
Citizens State Bank,New Baltimore,MI,1006,No Acquirer,18-Dec-09,21-Mar-14
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,21-Mar-14
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,23-Aug-12
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,14-Sep-12
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,23-Aug-12
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,31-Mar-16
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,23-Aug-12
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,8-May-15
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,9-Jul-10,8-May-15
"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,22-Oct-10,20-Aug-12
Enterprise Banking Company,McDonough,GA,19758,No Acquirer,21-Jan-11,21-Mar-14
FirsTier Bank,Louisville,CO,57646,No Acquirer,28-Jan-11,12-Sep-12
Home Savings of America,Little Falls,MN,29178,No Acquirer,24-Feb-12,17-Dec-12
New City Bank,Chicago,IL,57597,No Acquirer,9-Mar-12,29-Oct-12
Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,27-Apr-12,17-Oct-12
NOVA Bank,Berwyn,PA,27148,No Acquirer,26-Oct-12,24-Jan-13
The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,7-Dec-15